"","accuracy_ 67045","accuracy_ 67051","accuracy_ 67174","accuracy_ 67258","accuracy_ 67507","accuracy_ 67609","accuracy_ 67630","accuracy_ 69202","accuracy_ 69484","accuracy_ 69571","accuracy_ 69661","accuracy_ 69679","accuracy_ 69712","accuracy_ 70516"
"52",0.222222222,3,2.222222222,12.22222222,15.77777778,5,18.88888889,20,36.77777778,4.555555556,13.22222222,0.333333333,9.333333333,7.666666667
"53",6.555555556,0.111111111,0.444444444,5,4.444444444,3.111111111,19,19.11111111,26.66666667,3.222222222,1,12.44444444,10.11111111,6
"54",34,12,8.333333333,5.888888889,12,1,5,20.44444444,15.44444444,6.888888889,8.222222222,15.44444444,0.555555556,6.111111111
"55",43.55555556,0.444444444,0.555555556,2.333333333,2.666666667,0.555555556,13.66666667,15.11111111,15.77777778,11.22222222,15.88888889,8.777777778,8.777777778,2.333333333
"56",19.44444444,10.55555556,14.66666667,8.888888889,12.33333333,12.33333333,10.44444444,14.44444444,3.666666667,8.888888889,1.777777778,8.333333333,7,0.444444444
"57",6.666666667,2.111111111,1,8.111111111,7.555555556,0.111111111,12.66666667,4.444444444,1.222222222,10.77777778,4.333333333,15.44444444,3.444444444,1.666666667
"58",48.44444444,4.666666667,15.44444444,14.44444444,5.777777778,10.55555556,2.555555556,14.66666667,6.777777778,4.777777778,1.333333333,0.555555556,14.77777778,11.44444444
"59",21.11111111,14.33333333,11.11111111,1.777777778,0.666666667,87.44444444,12.55555556,17.33333333,0.888888889,3,5.666666667,9,2.555555556,1.111111111
"60",6.555555556,6.777777778,16.44444444,10.55555556,7.444444444,4.666666667,27.33333333,4.555555556,2.444444444,3.222222222,2.777777778,5.555555556,2.666666667,6.555555556
"61",32.22222222,1,12.77777778,3.555555556,14.77777778,32.66666667,22.66666667,15.33333333,3.111111111,5.444444444,2.444444444,8.555555556,5.222222222,12.88888889
"62",5.333333333,3.444444444,2.666666667,7.222222222,5.444444444,7.111111111,4.555555556,14.55555556,0.444444444,8.888888889,11.77777778,4.444444444,4.555555556,7.111111111
"63",1.222222222,3.555555556,16,19,4.222222222,24.66666667,15.11111111,12,23.22222222,26.44444444,10.33333333,5.333333333,7,14.33333333
"64",7.666666667,2.555555556,5.111111111,3.222222222,23.77777778,12.33333333,13.55555556,9.444444444,11.88888889,3.333333333,10.55555556,5,3.333333333,15.11111111
"65",38,11.22222222,12.55555556,2.555555556,6.111111111,12.33333333,2,14.11111111,0.888888889,5.222222222,6.555555556,10.77777778,13.66666667,5.333333333
"66",19.33333333,4.555555556,19.66666667,14.88888889,1.888888889,37.11111111,5.666666667,19.88888889,4.111111111,3.888888889,0.666666667,1.888888889,12.66666667,7.444444444
"67",6.666666667,0.222222222,10,9.444444444,2,7.666666667,21.88888889,18.88888889,5.666666667,3.555555556,2.777777778,6.777777778,3.777777778,4.333333333
"68",24.44444444,15.44444444,1.444444444,2.222222222,14.11111111,9.666666667,20.22222222,3.222222222,8.777777778,1,10.33333333,8.333333333,8.333333333,4.888888889
"69",9.666666667,26.77777778,3.666666667,1.777777778,18.88888889,0.333333333,14.44444444,23.11111111,6.555555556,4.666666667,10.88888889,11.22222222,0.333333333,12.55555556
"70",1.777777778,2.888888889,11.22222222,1,15.44444444,84.55555556,10.77777778,20,7.555555556,9.444444444,0.333333333,10.33333333,11,1.777777778
"71",20.88888889,8,8.888888889,2.444444444,14.55555556,11.66666667,0.555555556,13.55555556,4,4.111111111,13.88888889,9.333333333,14.22222222,7.555555556
"72",6.888888889,18.77777778,3.111111111,1,5.333333333,15.77777778,13.55555556,32.55555556,12.44444444,6.444444444,6.444444444,11.88888889,29.11111111,13.11111111
"73",0.333333333,0.777777778,4.666666667,2.444444444,1.888888889,5.111111111,13.88888889,5.888888889,17.22222222,4.444444444,20.22222222,3.888888889,12,0.222222222
"74",17.22222222,8.444444444,5.666666667,5.777777778,17.55555556,12.11111111,2.777777778,20.11111111,16.44444444,7.333333333,26.44444444,15.88888889,0.333333333,11.22222222
"75",10,8.888888889,4.777777778,10.22222222,16.88888889,55,12.66666667,3,17.77777778,1.666666667,2.333333333,4.888888889,2.333333333,13.88888889
"76",41.77777778,80.77777778,12.66666667,39.44444444,2,11.44444444,1.888888889,9.333333333,14.11111111,1.777777778,6.111111111,9.888888889,4.888888889,0.888888889
"77",10.66666667,9.333333333,9.777777778,1.888888889,4.666666667,3.444444444,5.444444444,5.444444444,9.666666667,12.66666667,3.666666667,8.777777778,7.888888889,5.111111111
"78",8.555555556,12.55555556,35.55555556,0,8.777777778,7.444444444,4.444444444,4.888888889,8.333333333,8.222222222,1,23.66666667,2.333333333,8.666666667
"79",16.44444444,5.444444444,15.66666667,6,9.222222222,15.33333333,34.77777778,14.77777778,9.777777778,11.11111111,10,59.88888889,9,7.555555556
"80",24.33333333,3.777777778,6.777777778,11,2.444444444,5.222222222,4.666666667,16.55555556,3.444444444,15.77777778,2.555555556,17.22222222,5.111111111,2.444444444
"81",7.777777778,5.777777778,6.666666667,12.55555556,8,8.555555556,14.22222222,0.555555556,8,4.444444444,1.444444444,8.111111111,5.111111111,4.333333333
"82",9.333333333,26.55555556,11.33333333,9.555555556,10.77777778,63.22222222,10,5.333333333,16.88888889,1.666666667,7.444444444,11.44444444,17.22222222,0.111111111
"83",30.55555556,10.11111111,9.333333333,30.77777778,0.111111111,6.111111111,2.666666667,7.666666667,3.444444444,10.22222222,5.333333333,4.555555556,17.66666667,4.444444444
"84",10.66666667,5.333333333,8.222222222,0.222222222,5.555555556,74.66666667,3.888888889,5.222222222,20.88888889,2.222222222,0.222222222,0.666666667,15.77777778,3.555555556
"85",28.33333333,2.888888889,8.444444444,8.555555556,6.666666667,57.66666667,14.33333333,11.77777778,8,9.222222222,3.222222222,3.444444444,2.888888889,6.777777778
