"","distance_ 67042","distance_ 67243","distance_ 67708","distance_ 68851","distance_ 68926","distance_ 69016","distance_ 69100","distance_ 69139","distance_ 69169","distance_ 69241","distance_ 69247","distance_ 69637","distance_ 69670","distance_ 69739","distance_ 69745","distance_ 69859","distance_ 70552"
"74",24.44444444,23.33333333,71.66666667,37.77777778,52.22222222,36.66666667,60.55555556,68.33333333,38.33333333,39.44444444,32.77777778,42.77777778,37.22222222,50,28.88888889,68.33333333,41.66666667
"75",74.44444444,37.77777778,36.66666667,73.88888889,28.33333333,54.44444444,47.77777778,41.66666667,33.88888889,22.22222222,30,30.55555556,28.33333333,53.33333333,28.33333333,60,33.33333333
"76",44.44444444,57.22222222,59.44444444,47.22222222,71.11111111,69.44444444,35.55555556,25,69.44444444,44.44444444,25,49.44444444,67.77777778,25.55555556,42.77777778,47.77777778,56.11111111
"77",60.55555556,53.33333333,48.88888889,33.88888889,71.66666667,26.66666667,42.22222222,39.44444444,50.55555556,55.55555556,24.44444444,61.11111111,56.11111111,37.22222222,36.11111111,27.77777778,30
"78",40.55555556,56.66666667,56.66666667,30,74.44444444,22.77777778,25,50.55555556,52.22222222,33.33333333,31.11111111,47.22222222,62.77777778,20.55555556,24.44444444,47.77777778,67.22222222
"79",36.66666667,22.22222222,46.11111111,22.77777778,30,27.22222222,53.33333333,28.33333333,75,41.66666667,58.33333333,65,34.44444444,31.66666667,73.33333333,74.44444444,48.88888889
"80",45.55555556,68.88888889,66.11111111,45,39.44444444,50,48.88888889,62.22222222,21.11111111,56.11111111,66.66666667,46.11111111,71.66666667,61.66666667,56.66666667,71.11111111,27.77777778
"81",44.44444444,42.22222222,53.88888889,56.66666667,26.66666667,46.11111111,38.33333333,66.66666667,51.11111111,57.77777778,23.33333333,62.77777778,59.44444444,46.11111111,32.22222222,68.33333333,45
"82",66.11111111,32.22222222,62.77777778,60.55555556,21.11111111,38.33333333,30,29.44444444,72.22222222,28.88888889,33.88888889,25.55555556,30,53.88888889,33.33333333,61.66666667,61.11111111
"83",63.88888889,39.44444444,40.55555556,58.88888889,20,38.33333333,55,35,24.44444444,49.44444444,23.33333333,25.55555556,38.88888889,74.44444444,71.11111111,28.33333333,61.11111111
"84",47.22222222,27.77777778,62.77777778,42.77777778,69.44444444,47.77777778,45,37.77777778,63.88888889,32.22222222,46.66666667,32.22222222,25.55555556,73.88888889,59.44444444,57.77777778,27.22222222
