"","distance_ 67045","distance_ 67051","distance_ 67174","distance_ 67258","distance_ 67507","distance_ 67609","distance_ 67630","distance_ 69202","distance_ 69484","distance_ 69571","distance_ 69661","distance_ 69679","distance_ 69712","distance_ 70516"
"42",21.11111111,25,75,40,57.22222222,66.66666667,57.77777778,30.55555556,46.11111111,53.88888889,39.44444444,44.44444444,30,29.44444444
"43",36.66666667,61.11111111,57.22222222,21.66666667,25.55555556,68.33333333,70.55555556,70.55555556,41.11111111,70,40,42.22222222,60,48.88888889
"44",72.22222222,43.88888889,56.11111111,67.22222222,65,69.44444444,59.44444444,68.88888889,40.55555556,26.66666667,71.11111111,60.55555556,30,62.77777778
"45",52.22222222,37.77777778,45.55555556,40.55555556,28.88888889,50.55555556,43.33333333,60.55555556,58.88888889,23.33333333,41.11111111,48.33333333,51.66666667,25
"46",62.22222222,62.77777778,20,41.66666667,47.22222222,43.88888889,62.77777778,39.44444444,36.66666667,51.66666667,70.55555556,62.22222222,61.11111111,67.77777778
"47",29.44444444,36.11111111,47.77777778,43.33333333,72.77777778,56.11111111,72.77777778,56.11111111,26.66666667,43.33333333,43.33333333,40.55555556,41.66666667,31.66666667
"48",21.11111111,64.44444444,66.11111111,41.11111111,46.66666667,73.88888889,57.77777778,65.55555556,21.11111111,73.88888889,36.66666667,46.11111111,23.88888889,51.66666667
"49",57.77777778,51.11111111,67.77777778,62.77777778,21.66666667,48.33333333,62.22222222,38.33333333,31.66666667,21.66666667,30,45,56.66666667,56.11111111
"50",38.33333333,51.66666667,58.33333333,30.55555556,21.11111111,52.77777778,37.22222222,39.44444444,63.88888889,52.77777778,36.66666667,63.33333333,43.88888889,33.33333333
"51",45,67.77777778,50.55555556,41.11111111,25.55555556,57.22222222,26.66666667,65.55555556,62.22222222,51.66666667,62.77777778,55,25,64.44444444
"52",62.77777778,55,62.77777778,37.22222222,37.77777778,20,63.88888889,25,37.22222222,20.55555556,67.22222222,48.33333333,66.66666667,41.66666667
"53",20.55555556,61.11111111,25.55555556,35,30.55555556,66.11111111,25,46.11111111,53.33333333,37.22222222,40,54.44444444,43.88888889,40
"54",20,50,71.66666667,43.88888889,70,35,45,29.44444444,70.55555556,26.11111111,57.77777778,44.44444444,65.55555556,36.11111111
"55",39.44444444,74.44444444,74.44444444,43.33333333,66.66666667,50.55555556,56.66666667,36.11111111,62.22222222,32.22222222,56.11111111,57.22222222,22.77777778,53.33333333
"56",70.55555556,45.55555556,56.66666667,66.11111111,56.66666667,36.66666667,69.44444444,50.55555556,66.66666667,21.11111111,52.22222222,73.33333333,65,39.44444444
